chrom	start	end	vcf_prefix	output_bcf	output_bcf_idx	output_vep	output_vep_idx
chr21	14645646	14649929	ukb24310_c21_b732_v1.chunk2	file-J16X558JQJGjGX3Jq7XkQ9Yb	file-J16X56jJQJGj2KGfq3VkF8q9	file-J16X570JQJGqzY4YXp34Fp6k	file-J16X570JQJGqzY4YXp34Fp6q
chr21	14525830	14531330	ukb24310_c21_b726_v1.chunk2	file-J16X5FQJQJGfPp1YXB4kYz1B	file-J16X5GjJQJGg71f824yxvPy0	file-J16X5J0JQJGfPp1YXB4kYz1j	file-J16X5J0JQJGjQJ5KPv49kB7F
chr21	14705777	14711489	ukb24310_c21_b735_v1.chunk2	file-J16X5f8JQJGfPp1YXB4kYz2G	file-J16X5gjJQJGffQzbzJGpZ0JB	file-J16X5j0JQJGX5YPpbzFVY5vp	file-J16X5j8JQJGb3gfJVGj498KF
chr21	14420003	14425747	ukb24310_c21_b721_v1.chunk1	file-J16X5g0JQJGj2KGfq3VkF8vP	file-J16X5jQJQJGx2BVV75jVzgJ8	file-J16X5jjJQJGZpBbjJ4qK3Gqb	file-J16X5jjJQJGZpBbjJ4qK3Gqg
chr21	14425748	14431494	ukb24310_c21_b721_v1.chunk2	file-J16X6P8JQJGfg5VqJj9kqfb6	file-J16X6QjJQJGqYyK0G6Gg6vX5	file-J16X6QjJQJGvk099j6939yV1	file-J16X6V0JQJGbPyx2KQpF1gFv
chr21	14732102	14739999	ukb24310_c21_b736_v1.chunk3	file-J16X8PjJQJGzpgXk217Qfyfb	file-J16X8VjJQJGfKxy038497F02	file-J16X8X0JQJGXqQ0f9yv4Y4Kx	file-J16X8X8JQJGfKxy038497F04
chr21	14451379	14459998	ukb24310_c21_b722_v1.chunk3	file-J16XB18JQJGz744QjbjxjXZG	file-J16XB3QJQJGbYX94fZqvbPvk	file-J16XB3jJQJGf1x680062pBgZ	file-J16XB40JQJGf1x680062pBgj
chr21	14711490	14720000	ukb24310_c21_b735_v1.chunk3	file-J16XBGQJQJGQFb9GV62JPGZ0	file-J16XBK8JQJGZzvzJFjk2BvzG	file-J16XBKQJQJGz5jV91bpP4QvG	file-J16XBKQJQJGqq72XggjVXxBv
chr21	14436799	14439999	ukb24310_c21_b721_v1.chunk4	file-J16B9ZQJ00B771f824yxQ3By	file-J16B9bQJ00BFzY4YXp345QKz	file-J16B9bjJ00B6Pp1YXB4k9Xpg	file-J16B9f0J00B82KGfq3Vk360G
chr21	14476269	14480000	ukb24310_c21_b723_v1.chunk4	file-J16BG7QJ00B2PZVYFBY81J2j	file-J16BG8QJ00B2qQ0f9yv47P8k	file-J16BG8jJ00BP744Qjbjx42Fk	file-J16BG90J00B6Kxy03848pKKX
chr21	14577225	14579998	ukb24310_c21_b728_v1.chunk4	file-J16BJ1QJ00B61x680062J8gq	file-J16BJ2jJ00BKQvZ0124p9Z56	file-J16BJ30J00B29JzyFp063qJb	file-J16BJ38J00BPpgXk217Q7jv6
chr21	14600001	14605856	ukb24310_c21_b730_v1.chunk1	file-J16BJvQJ00BFYyK0G6GfYqkv	file-J16BJy8J00B4Q64VGf3K2jYy	file-J16BJyQJ00B2X9bX6pY6fBGZ	file-J16BJyjJ00B4905PGkbbKJP4
chr21	14605857	14611685	ukb24310_c21_b730_v1.chunk2	file-J16BJvjJ00B2ZyQ1qXPB4qY5	file-J16BJyjJ00B46J0g1gVK54pB	file-J16BJz0J00B6vfXV3XB95q3j	file-J16BJz8J00B1j3gFJfpY78J9
chr21	14460001	14465942	ukb24310_c21_b723_v1.chunk1	file-J16BK00J00B426vKQFP1BYB1	file-J16BK18J00B4762x7b5KK8jv	file-J16BK1QJ00BB2bjzfXxYJ3Vv	file-J16BK1jJ00B5X48XvFKfq22Q
chr21	14465943	14471783	ukb24310_c21_b723_v1.chunk2	file-J16BK20J00BB2bjzfXxYJ3Vy	file-J16BK3QJ00B6vfXV3XB95q3p	file-J16BK3jJ00B1j3gFJfpY78JJ	file-J16BK3jJ00B46J0g1gVK54pK
chr21	14745954	14752046	ukb24310_c21_b737_v1.chunk2	file-J16BK78J00BJBBqJQVg51P40	file-J16BK8QJ00B3j3jYFq9Pbvb5	file-J16BK8jJ00BFYyK0G6GfYqpP	file-J16BK90J00B5Pyx2KQpBKK62
chr21	14560007	14565714	ukb24310_c21_b728_v1.chunk1	file-J16BKPQJ00B5Pyx2KQpBKK6X	file-J16BKV0J00B05qK3kG4jY0Qb	file-J16BKV8J00BGk099j692f2Fj	file-J16BKVQJ00BFYyK0G6GfYqqk
chr21	14571353	14577224	ukb24310_c21_b728_v1.chunk3	file-J16BKZ8J00B4905PGkbbP11j	file-J16BKf8J00B426vKQFP1BYB9	file-J16BKfjJ00BJ86jyPg84567j	file-J16BKg0J00B6jP1xXP8x40Gf
chr21	14740003	14745952	ukb24310_c21_b737_v1.chunk1	file-J16BKZjJ00BFYyK0G6GfYqv4	file-J16BKfjJ00B3j3jYFq9Pbvg4	file-J16BKg0J00BB2bjzfXxYJ3XZ	file-J16BKg8J00B3j3jYFq9PbvgG
chr21	14565717	14571350	ukb24310_c21_b728_v1.chunk2	file-J16BKf8J00B5Pyx2KQpBKK89	file-J16BKgjJ00BJ86jyPg84567p	file-J16BKj0J00B5X48XvFKfq24F	file-J16BKj8J00BJ86jyPg84567v
chr21	14431497	14436798	ukb24310_c21_b721_v1.chunk3	file-J16BKk0J00B8B1Gq27kP6JY4	file-J16BKp8J00B1k2p4k9zpGZYZ	file-J16BKpQJ00BBv38Jx9YypKPq	file-J16BKpjJ00B2ZjVZF7ZpxpxZ
chr21	14471785	14476268	ukb24310_c21_b723_v1.chunk3	file-J16BPPjJ00BFq72XggjV8qq7	file-J16BPV8J00B9vy6Z7KfyyQx2	file-J16BPV8J00B4zvzJFjk1ky7b	file-J16BPVQJ00B4zvzJFjk1ky7k
chr21	14685724	14691701	ukb24310_c21_b734_v1.chunk2	file-J16BPXQJ00BFq72XggjV8qqf	file-J16BPZQJ00BKqFbZXfVGF7j4	file-J16BPZQJ00B1GGZ1pgXF2yfv	file-J16BPZjJ00B1GGZ1pgXF2yfy
chr21	14680002	14685718	ukb24310_c21_b734_v1.chunk1	file-J16BPZjJ00B2ZjVZF7Zpxq15	file-J16BPf0J00B9J33VJxGzvFxQ	file-J16BPf8J00B9J33VJxGzvFxX	file-J16BPfQJ00B82KGfq3Vk36V8
chr21	14752055	14760000	ukb24310_c21_b737_v1.chunk3	file-J16BXbjJ00B9J33VJxGzvG5F	file-J16BXgQJ00BJBBqJQVg51PK8	file-J16BXgjJ00B2ZyQ1qXPB4v9Q	file-J16BXj0J00B2X9bX6pY6fBbY
chr21	14611686	14619994	ukb24310_c21_b730_v1.chunk3	file-J16BYj0J00BP744Qjbjx4368	file-J16BYkjJ00B42XyQyk4kG77G	file-J16BYp0J00B57Vz5Jq51k289	file-J16BYp8J00B57Vz5Jq51k28F
chr21	15116962	15119994	ukb24310_c21_b755_v1.chunk4	file-J16B1Y0JJ4b48gp0Qk4f2bKP	file-J16B1Z0JJ4b7bgkPxy07pB73	file-J16B1Z0JJ4bP9P84Zz0fY152	file-J16B1Z8JJ4bG76p95P74Fv49
chr21	15076223	15079999	ukb24310_c21_b753_v1.chunk4	file-J16B2k8JJ4b8QJ5KPv49VfFb	file-J16B2p8JJ4b8QJ5KPv49VfFx	file-J16B2pQJJ4b9J33VJxGzqbfV	file-J16B2pjJJ4b8QJ5KPv49VfFz
chr21	15111289	15116959	ukb24310_c21_b755_v1.chunk3	file-J16B7GQJJ4b1GGZ1pgXF2vPB	file-J16B7K0JJ4b1PBP6vfpK5zV9	file-J16B7K8JJ4b9jQQ3X3zGfFx5	file-J16B7KQJJ4b6g5VqJj9k5K52
chr21	15100003	15105852	ukb24310_c21_b755_v1.chunk1	file-J16B7b8JJ4b2PZVYFBY81Gk8	file-J16B7j8JJ4b2ZjVZF7Zpxkgq	file-J16B7jjJJ4b53gfJVGj3gyQY	file-J16B7k0JJ4b6kjp5GfQJjF56
chr21	15105865	15111285	ukb24310_c21_b755_v1.chunk2	file-J16B7fQJJ4b2ZjVZF7ZpxkgP	file-J16B7k0JJ4b2ZjVZF7Zpxkgx	file-J16B7k8JJ4b1GGZ1pgXF2vPj	file-J16B7kQJJ4bK769653xpFFVj
chr21	14655879	14660000	ukb24310_c21_b732_v1.chunk4	file-J168jzQJv3p1pz6GXF1Bzgqg	file-J168k0QJv3pFGQqzVXJ6116V	file-J168k0jJv3pFFQ5689vzJ6Yz	file-J168k10Jv3pFGQqzVXJ6116g
chr21	14595694	14599998	ukb24310_c21_b729_v1.chunk4	file-J168kqjJv3pFGQqzVXJ611B2	file-J168kvjJv3p5k91k3zX52KQP	file-J168kx0Jv3p7Q5vqygGjyP3p	file-J168kx8Jv3pP744Qjbjvp31V
chr21	14605857	14611685	ukb24310_c21_b730_v1.chunk2	file-J168x50Jv3p6vfXV3XB94xxQ	file-J168x6QJv3p8Q8K5vgkgkvvX	file-J168x6jJv3pKP147gfFK0XbB	file-J168x70Jv3p9GkP1Gj195x8V
chr21	14640004	14645639	ukb24310_c21_b732_v1.chunk1	file-J168xfQJv3p9GkP1Gj195xGv	file-J168xgjJv3pJ2BVV75jV7gY2	file-J168xj0Jv3pJ2BVV75jV7gY4	file-J168xj8Jv3pPg0gFJVGQ2Kjj
chr21	14725957	14732101	ukb24310_c21_b736_v1.chunk2	file-J168xj0Jv3p6vfXV3XB94y1V	file-J168xpQJv3p4Q64VGf3K2PXQ	file-J168xpQJv3p6vfXV3XB94y1q	file-J168xpjJv3p6vfXV3XB94y1x
chr21	14589977	14595693	ukb24310_c21_b729_v1.chunk3	file-J168xj0Jv3p8Q8K5vgkgkx5x	file-J168xq8Jv3pPB35xzGZjgzX6	file-J168xqQJv3pKP147gfFK0XvP	file-J168xqjJv3pFFQ5689vzJ7G1
chr21	14649930	14655878	ukb24310_c21_b732_v1.chunk3	file-J168xqjJv3p6vfXV3XB94y1z	file-J168xy0Jv3pPg0gFJVGQ2Kv1	file-J168xy0Jv3p61x6800629JBf	file-J168xy8Jv3p5YX94fZqv323G
chr21	14645646	14649929	ukb24310_c21_b732_v1.chunk2	file-J168xv0Jv3p5X48XvFKfjF2V	file-J168xy0Jv3pJ86jyPg8448pK	file-J168xy8Jv3p8B1Gq27kP5X91	file-J168xyQJv3pB2bjzfXxYF092
chr21	14720003	14725955	ukb24310_c21_b736_v1.chunk1	file-J168y0QJv3p5X48XvFKfjF32	file-J168y1jJv3p6vfXV3XB94y2B	file-J168y20Jv3p426vKQFP19YpY	file-J168y28Jv3p4Q64VGf3K2PY6
chr21	14585403	14589976	ukb24310_c21_b729_v1.chunk2	file-J168y98Jv3p4Q64VGf3K2PYx	file-J168yBQJv3p6vfXV3XB94y54	file-J168yBjJv3p46J0g1gVK451X	file-J168yF0Jv3pJBBqJQVg4z7VV
chr21	14700003	14705776	ukb24310_c21_b735_v1.chunk1	file-J168yJ0Jv3p2X9bX6pY6ZjJV	file-J168yKQJv3p9vy6Z7KfyqXFk	file-J168yKjJv3p61x6800629JQ0	file-J168yP0Jv3p5YX94fZqv3bbF
chr21	14580009	14585402	ukb24310_c21_b729_v1.chunk1	file-J168yYQJv3p0Fb9GV62Gkgyy	file-J168yb0Jv3p4pBbjJ4qJB8Yv	file-J168yb8Jv3p4zvzJFjk1bjxb	file-J168ybQJv3pGJ9Bgyjb4K1jX
chr21	14705777	14711489	ukb24310_c21_b735_v1.chunk2	file-J168yb0Jv3p46J0g1gVK452Y	file-J168yf8Jv3pJ2BVV75jV7gg4	file-J168yfQJv3pB2bjzfXxYF0Pg	file-J168yfjJv3pJ2BVV75jV7gg8
chr21	14660003	14665870	ukb24310_c21_b733_v1.chunk1	file-J168z48Jv3p4762x7b5KFPVG	file-J168z5jJv3p69p73bjV0zvf6	file-J168z60Jv3p2y5kJqyk89JzV	file-J168z60Jv3pGFf4B9qqYZ63K
chr21	15052370	15059998	ukb24310_c21_b752_v1.chunk3	file-J168zv0Jv3pP9P84Zz0fP76G	file-J168zxQJv3p6fQzbzJGp4x9g	file-J168zxjJv3pFzY4YXp340J02	file-J168zxjJv3p6fQzbzJGp4x9y
chr21	14732102	14739999	ukb24310_c21_b736_v1.chunk3	file-J169170Jv3p6Pp1YXB4k2294	file-J16918QJv3p5Pyx2KQpBJQV9	file-J16918jJv3p4905PGkbb8Kq6	file-J169190Jv3p4905PGkbb8Kq8
chr21	14611686	14619994	ukb24310_c21_b730_v1.chunk3	file-J1693K8Jv3pKj6GkbVp9xz2y	file-J1693QQJv3p2PZVYFBY7zGg0	file-J1693QQJv3pG76p95P7481VG	file-J1693QjJv3p2PZVYFBY7zGg4
chr21	14711490	14720000	ukb24310_c21_b735_v1.chunk3	file-J1694F8Jv3pP744QjbjvqG32	file-J1694J0Jv3p7Q5vqygGjz4ZV	file-J1694J8Jv3p7Q5vqygGjz4Zf	file-J1694JQJv3p9JqfQb8PvFVK3
chr21	14896187	14899995	ukb24310_c21_b744_v1.chunk4	file-J168k3QJYXQ0k9QYGQKgYGz4	file-J168k48JYXQ83ZB5g33b76Vj	file-J168k4QJYXQ0k9QYGQKgYGzB	file-J168k4jJYXQ2y5kJqyk88kFk
chr21	14937011	14939997	ukb24310_c21_b746_v1.chunk5	file-J168pF0JYXQ5X48XvFKfgfkb	file-J168pG0JYXQ2gg0Bkfy55zp2	file-J168pG8JYXQ2PZVYFBY7ygYV	file-J168pGQJYXQ2PZVYFBY7ygYb
chr21	14814891	14819999	ukb24310_c21_b740_v1.chunk4	file-J168qq8JYXQ2qQ0f9yv428vV	file-J168qvQJYXQ2qQ0f9yv428vb	file-J168qvjJYXQ5k91k3zX52KfP	file-J168qx0JYXQGgF3yK29XxFYZ
chr21	14920001	14926018	ukb24310_c21_b746_v1.chunk1	file-J168xPQJYXQGQQyPXV281Xyq	file-J168xV0JYXQB1jGgqy2PJxYG	file-J168xV0JYXQP9P84Zz0fP6j4	file-J168xV8JYXQB1jGgqy2PJxYQ
chr21	14932915	14937010	ukb24310_c21_b746_v1.chunk4	file-J168xbQJYXQG76p95P747J6P	file-J168xg0JYXQ3jqFz9gXQ8Kg0	file-J168xg0JYXQ3jqFz9gXQ8Kg6	file-J168xg8JYXQGQQyPXV281Y05
chr21	14929662	14932914	ukb24310_c21_b746_v1.chunk3	file-J168xj8JYXQBgp0003vy5BXv	file-J168xp8JYXQ4J9F0QJZKZ4X4	file-J168xp8JYXQGBg6yXkfyvq14	file-J168xpQJYXQGBg6yXkfyvq3J
chr21	14885247	14891472	ukb24310_c21_b744_v1.chunk2	file-J168xjjJYXQJyp95Fy7j05yX	file-J168xpQJYXQ57Vz5Jq51f9v2	file-J168xpjJYXQ4J9F0QJZKZ4X6	file-J168xq0JYXQ53gfJVGj3b9bP
chr21	14926019	14929660	ukb24310_c21_b746_v1.chunk2	file-J168xqQJYXQ42XyQyk4k71p2	file-J168xx0JYXQ1k2p4k9zpF7X5	file-J168xx0JYXQK56g9f8ZFpZXF	file-J168xx8JYXQKqFbZXfVG9ZfG
chr21	14960001	14966008	ukb24310_c21_b748_v1.chunk1	file-J168xy8JYXQGBg6yXkfyvq3z	file-J168y0QJYXQK56g9f8ZFpZXP	file-J168y0jJYXQ1k2p4k9zpF7Y3	file-J168y10JYXQK769653xp8gJG
chr21	14966013	14972796	ukb24310_c21_b748_v1.chunk2	file-J168xyjJYXQ5k91k3zX52KzV	file-J168y0QJYXQ9ZPj7b5xZ2j7J	file-J168y0jJYXQ2qQ0f9yv429Py	file-J168y10JYXQ9ZPj7b5xZ2j7P
chr21	14783955	14788750	ukb24310_c21_b739_v1.chunk2	file-J168y2jJYXQ2qQ0f9yv429Q4	file-J168y48JYXQG76p95P747J89	file-J168y48JYXQ6kjp5GfQJX6gb	file-J168y4QJYXQG76p95P747J8F
chr21	14788751	14793574	ukb24310_c21_b739_v1.chunk3	file-J168y7jJYXQ2gg0Bkfy560VQ	file-J168y98JYXQK769653xp8gKK	file-J168y98JYXQGBg6yXkfyvq7x	file-J168y9QJYXQ2ZjVZF7Zpqjf3
chr21	14780001	14783948	ukb24310_c21_b739_v1.chunk1	file-J168yF8JYXQ1k2p4k9zpF7Yk	file-J168yGjJYXQ2qQ0f9yv429Yx	file-J168yGjJYXQP744QjbjvpgbB	file-J168yJ0JYXQB1jGgqy2PJyx9
chr21	14880003	14885241	ukb24310_c21_b744_v1.chunk1	file-J168yJ0JYXQP744QjbjvpgbG	file-J168yK8JYXQPQQ0zjgKBYX0k	file-J168yKQJYXQ4J9F0QJZKZ4fK	file-J168yKjJYXQ2fGBJB50YJ7Vj
chr21	14891473	14896184	ukb24310_c21_b744_v1.chunk3	file-J168zv8JYXQFzY4YXp340Gzy	file-J168zxjJYXQ69p73bjV10Q9Q	file-J168zy8JYXQ69p73bjV10Q9j	file-J168zyQJYXQ0k9QYGQKgZ1b1
chr21	14665874	14670923	ukb24310_c21_b733_v1.chunk2	file-J168zxQJYXQ4762x7b5KFPZp	file-J168zz0JYXQGJ9Bgyjb4K1zV	file-J168zz8JYXQGJ9Bgyjb4K1zg	file-J168zzQJYXQ83ZB5g33b92Jq
chr21	14793578	14800000	ukb24310_c21_b739_v1.chunk4	file-J1691VjJYXQ6jP1xXP8x1yv8	file-J1691YQJYXQP744QjbjvqFbG	file-J1691YQJYXQ9JqfQb8PvBxPb	file-J1691YjJYXQGgF3yK29XxGVb
chr21	14972798	14979994	ukb24310_c21_b748_v1.chunk3	file-J169228JYXQ9JqfQb8PvBxXB	file-J16923jJYXQ4pBbjJ4qJB8zq	file-J16923jJYXQJ86jyPg8449bF	file-J169240JYXQ4762x7b5KFQ0K
chr21	14697162	14700000	ukb24310_c21_b734_v1.chunk4	file-J168B1QJQGXgQ5vqygGjvVzg	file-J168B2QJQGXgbgkPxy07ZQ8g	file-J168B2QJQGXp1jGgqy2PGXq2	file-J168B2jJQGXgbgkPxy07ZQ8p
chr21	14676573	14679998	ukb24310_c21_b733_v1.chunk4	file-J168BP0JQGXfkjp5GfQJVKBz	file-J168BQ0JQGXkJqfQb8Pv88VV	file-J168BQ8JQGXXqQ0f9yv40F8G	file-J168BQQJQGXXqQ0f9yv40F8X
chr21	14635307	14640000	ukb24310_c21_b731_v1.chunk4	file-J168J4jJQGXZVxJ68pfppKbV	file-J168J60JQGXYjqFz9gXQ8Fyy	file-J168J68JQGXvgXBqF8JQJ581	file-J168J6QJQGXZVxJ68pfppKbv
chr21	14685724	14691701	ukb24310_c21_b734_v1.chunk2	file-J168P6QJQGXj2KGfq3VjyV5z	file-J168P7jJQGXfvfXV3XB93ZY1	file-J168P80JQGXVj3gFJfpY2YF0	file-J168P88JQGXfvfXV3XB93ZY5
chr21	14624798	14629678	ukb24310_c21_b731_v1.chunk2	file-J168PFjJQGXfvfXV3XB93ZYB	file-J168PJ0JQGXZQ64VGf3JygKQ	file-J168PJ8JQGXZ6J0g1gVK3P5B	file-J168PJQJQGXXZyQ1qXPB1QgK
chr21	14629679	14635306	ukb24310_c21_b731_v1.chunk3	file-J168PVQJQGXXZyQ1qXPB1Qj3	file-J168PY0JQGXg71f824yxFVb1	file-J168PY8JQGXffQzbzJGp47KF	file-J168PY8JQGXqzY4YXp33z3q0
chr21	14670924	14676570	ukb24310_c21_b733_v1.chunk3	file-J168PkjJQGXfPp1YXB4jyy69	file-J168PqjJQGXZ26vKQFP17204	file-J168Pv8JQGXjQJ5KPv49KBvy	file-J168PvQJQGXZ26vKQFP17206
chr21	14771062	14776409	ukb24310_c21_b738_v1.chunk3	file-J168Pp0JQGXXZjVZF7Zpq0v9	file-J168Pv8JQGXqzY4YXp33z3z6	file-J168PvQJQGXy56g9f8ZFpVvY	file-J168PvjJQGXpv38Jx9Yyf87Y
chr21	14745954	14752046	ukb24310_c21_b737_v1.chunk2	file-J168PpjJQGXqzY4YXp33z3qv	file-J168Px0JQGXZJ9F0QJZKZ25X	file-J168Px0JQGXX5YPpbzFV24pp	file-J168Px8JQGXZ2XyQyk4k6zK6
chr21	14760001	14765821	ukb24310_c21_b738_v1.chunk1	file-J168PyjJQGXZJ9F0QJZKZ25v	file-J168Q0jJQGXfPp1YXB4jyy6Z	file-J168Q10JQGXjGX3Jq7Xk0Q1v	file-J168Q18JQGXffQzbzJGp47X2
chr21	14740003	14745952	ukb24310_c21_b737_v1.chunk1	file-J168Pz0JQGXzQQ0zjgKBYQ10	file-J168Q18JQGXXZjVZF7Zpq0vx	file-J168Q1QJQGXxBBqJQVg4pvZY	file-J168Q20JQGXXfGBJB50YJ56Y
chr21	14680002	14685718	ukb24310_c21_b734_v1.chunk1	file-J168Q10JQGXb3gfJVGj3b773	file-J168Q28JQGXg71f824yxFVg6	file-J168Q2jJQGXjGX3Jq7Xk0Q20	file-J168Q38JQGXVGGZ1pgXBzPxJ
chr21	14691702	14697161	ukb24310_c21_b734_v1.chunk3	file-J168Q20JQGXZ2XyQyk4k6zKK	file-J168Q40JQGXjQJ5KPv49KBxb	file-J168Q4QJQGXj2KGfq3VjyV9J	file-J168Q50JQGXqzY4YXp33z3zx
chr21	14765823	14771055	ukb24310_c21_b738_v1.chunk2	file-J168Q2jJQGXZJ9F0QJZKZ26J	file-J168Q58JQGXg71f824yxFVgb	file-J168Q5QJQGXqzY4YXp33z401	file-J168Q5jJQGXjQJ5KPv49KBxx
chr21	14620001	14624797	ukb24310_c21_b731_v1.chunk1	file-J168Q38JQGXkJ33VJxGzfJJj	file-J168Q58JQGXjQJ5KPv49KBxg	file-J168Q5QJQGXqzY4YXp33z403	file-J168Q5jJQGXqzY4YXp33z405
chr21	14500002	14506003	ukb24310_c21_b725_v1.chunk1	file-J168QKQJQGXfPp1YXB4jyy86	file-J168QPjJQGXjGX3Jq7Xk0Q5Y	file-J168QQ0JQGXffQzbzJGp47Yk	file-J168QQ0JQGXj2KGfq3VjyVBJ
chr21	14506006	14511638	ukb24310_c21_b725_v1.chunk2	file-J168QzQJQGXjQJ5KPv49KF1z	file-J168V0jJQGXg71f824yxFX05	file-J168V10JQGXfPp1YXB4jyy9Z	file-J168V18JQGXkJ33VJxGzfJQ7
chr21	14752055	14760000	ukb24310_c21_b737_v1.chunk3	file-J168Yv8JQGXQQXYbjjXvFY90	file-J168Yy0JQGXQQXYbjjXvFY92	file-J168Yy8JQGXZ8gp0Qk4bzBjk	file-J168YyQJQGXf521vPZG6VyB2
chr21	15035804	15039998	ukb24310_c21_b751_v1.chunk4	file-J167yY8J9XGBgp0003vy54P0	file-J167yZ8J9XGBv38Jx9YybX0g	file-J167yZ8J9XGK56g9f8ZFjZ5Q	file-J167yZQJ9XGK769653xp8V4g
chr21	14400001	14406379	ukb24310_c21_b720_v1.chunk1	file-J1682bjJ9XGBv38Jx9YybXJ6	file-J1682g0J9XGF623yKZqjQfx6	file-J1682g8J9XGPpgXk217zzPFJ	file-J1682gQJ9XGPpgXk217zzPFP
chr21	14445592	14451378	ukb24310_c21_b722_v1.chunk2	file-J1682gjJ9XGBfzgp6ygpxG48	file-J1682k0J9XGKj6GkbVp9vQPp	file-J1682k8J9XGF623yKZqjQfxB	file-J1682kjJ9XGJBBqJQVg4pk86
chr21	14485907	14491632	ukb24310_c21_b724_v1.chunk2	file-J1682k0J9XGF623yKZqjQfx8	file-J1682pQJ9XG29JzyFp05xvKj	file-J1682pjJ9XGKQvZ0124p4zQ3	file-J1682q0J9XGK56g9f8ZFjb7Z
chr21	14440002	14445591	ukb24310_c21_b722_v1.chunk1	file-J1682p8J9XGKQvZ0124p4zQ1	file-J1682qQJ9XGF623yKZqjQfxJ	file-J1682qjJ9XG29JzyFp05xvKy	file-J1682v0J9XGKj6GkbVp9vQQ0
chr21	15060001	15065158	ukb24310_c21_b753_v1.chunk1	file-J16832QJ9XGKj6GkbVp9vQQP	file-J168340J9XGKQvZ0124p4zVK	file-J168348J9XGBpqJQx1Q7KqFf	file-J168348J9XGBpqJQx1Q7KqFj
chr21	14406381	14411874	ukb24310_c21_b720_v1.chunk2	file-J168368J9XGPpgXk217zzPJv	file-J16837QJ9XG9XkvqZGvQgjFQ	file-J16837jJ9XG9XkvqZGvQgjFX	file-J168380J9XGBpqJQx1Q7KqFy
chr21	14545428	14551588	ukb24310_c21_b727_v1.chunk2	file-J16837jJ9XGGBg6yXkfyvbgP	file-J168390J9XGPpgXk217zzPKG	file-J168398J9XGF623yKZqjQfz4	file-J16839QJ9XGF623yKZqjQfz6
chr21	14480001	14485902	ukb24310_c21_b724_v1.chunk1	file-J1683J0J9XGBpqJQx1Q7KqGF	file-J1683KQJ9XGKj6GkbVp9vQXY	file-J1683KQJ9XG29JzyFp05xvQb	file-J1683KjJ9XGKQvZ0124p4zXz
chr21	14540001	14545425	ukb24310_c21_b727_v1.chunk1	file-J1683X0J9XGKQvZ0124p4zY8	file-J1683YQJ9XG2ZjVZF7Zppyk2	file-J1683YjJ9XG1k2p4k9zpF38B	file-J1683Z0J9XGBv38Jx9YybXP3
